Time,Track Title,Track ID
09:58,Don t Clean - Bryson Tiller,666134831798028050
09:55,ZieZie - Blessed G46 GRIME,738192331242851678
09:52,Wes Nelson - Nice To Meet Ya (Lyrics) ft Yxng Bane,449979559122487605
09:26,Cheat Codes - Do It All Over (feat. Marc E. Bassy),1152998456193454283
09:23,Diamond Platnumz ft Focalistic Costa Titch Pabi Cooper - Fresh (,2269029313849538892
09:20,One Acen - Monogram ft. Wauve,1441228879897058741
09:17,Adekunle Gold - Okay (Afro Pop Vol. 1),2161857512078794801
09:14,Rema - Bounce,1152998485684728645
09:11,NSG Ft. LD - Roadblock,35243914392981027
09:07,Fireboy DML Ed Sheeran - Peru,1332315694376141878
09:03,D-Block Europe - Ferrari Horses ft. Raye,810267521133078020
09:00,Ariana Grande - One last time (Amapiano Remix)By La Mayor,738209730336986045
08:57,Stefflon Don - Can t Let You Go (Lyrics),1458768225231569454
08:54,Yxng Bane ft. WSTRN - Fine Wine (Remix) GRM Daily,899934666598389685
08:50,Headie One - Siberia ft. Burna Boy,2161787198462941046
08:47,Wauve - Monzo ft. One Acen,1980798877648308356
08:40,Bayanni - Ta Ta Ta (Official Lyric Audio),1332315832514073544
08:37,Maroon 5 - Beautiful Mistakes ft. Megan Thee Stallion,216284949413964196
08:33,DJ Snake Ozuna Megan Thee Stallion LISA of BLACKPINK - SG.wav,89691660975184574
08:30,Rema - Soundgasm (MAX WALLIN TOUCH),1729424187542879007
08:26,Jocelyn Alice - Feels Right (Galloway Remix),1225108262845568025
08:23,City Girls Fivio Foreign - Top Notch,2017707347510678428
08:19,Dave Stormzy - Clash,1945737621074297053
08:19,Lauv - 26,2052926881562397537
08:14,Major Lazer - C est Cuit (feat. Aya Nakamura Swae Lee),738209940860823708
08:11,Blaq Diamond - SummerYoMuthi,233789136301771862
08:09,INNA - Always On My Mind (Lyrics),1225144151901805036
08:04,24kGoldn - Coco (Clean Lyrics) ft. DaBaby,377921972735235795
08:01,Tems- The Key,2197006731049085016
07:14,Davido - Jowo NR Xtendz,1152998448626177596
07:14,Sauti Sol - Rhumba Japani ft Kaskazini Bensoul Nviiri Xenia Manasseh Okello Max Nairobi Ho,1602900993913347031
07:11,Diane Warren Rita Ora Sofía Reyes Reik - Seaside,2035246685143211178
07:09,WizKid - Essence (Audio) ft. Tems,467624467706850916
07:05,J.Derobie Gold Up - Day Night Official Lyrics Video,1332280454922988574
07:01,Bensoul x Bien - Thick Thighs,179359070883021097
06:57,Ava Max - My Head My Heart,216548825543248714
06:57,MIST feat Burna Boy - Rollin,1980834027270609897
06:54,DJ Snake Selena Gomez - Selfish Love (Lyrics ),1891131433735687053
06:51,Darkoo - Rover (Keys to my rover),1404337881203476442
06:47,M.anifest - Game Over ft. Adekunle Gold,1513268976329909555
06:44,Doja Cat - Woman (Mica Remix),1153016144237692820
06:42,Headie One - Everything Nice (feat. Haile) G46 GRIME,467589369385754801
06:37,MAGGIE WA NYUMBANI - NDOVU KUU X BIEN THE BALDMAN,161731742428978777
06:21,Black Sherif - Kwaku The Traveller (Radio Clean),1513251417634161738
06:18,CLEAN Central Cee - Khabib,539647043043446252
06:18,Major Lazer feat. Alessia Cara - Hell and High Water,1026440254678705995
06:16,Galantis x Throttle - Tell Me You Love Me,1170537471180084891
06:13,Adekunle Gold - It Is What It Is,1441193699923542436
06:10,Joeboy - Contour (Lyric Visualizer),2269029366337962777
06:06,Mannywellz ft Tems - Peace (Lyrics),1801516789807321156
06:03,Chunkz X Filly - Hold,899934842125741527
